Data,Mes,Setor,Turno,Volume_Total,SLA_Real_%,Pacotes_Atrasados,Tempo_Medio_Seg,Motivo_Atraso
2026-01-08,1,Packing,Turno 1,12392,94.18,721,300,Problema de etiqueta
2026-01-08,1,Expedição,Turno 2,10864,94.44,604,377,Problema de etiqueta
2026-01-08,1,Devolução (DV),Turno 1,10575,96.27,394,344,Atraso na descarga
2026-01-08,1,Inventário,Turno 2,5663,99.54,25,339,Dentro do Prazo
2026-01-09,1,Recebimento,Turno 3,6495,97.62,154,292,Atraso na descarga
2026-01-09,1,Picking,Turno 3,6853,99.77,15,231,Dentro do Prazo
2026-01-09,1,Packing,Turno 1,6291,94.01,376,292,Gargalo no Sortter
2026-01-09,1,Expedição,Turno 2,6636,94.28,379,260,Indisponibilidade de Sistema
2026-01-09,1,Devolução (DV),Turno 2,5698,96.88,177,309,Falta de FTE (Mão de obra)
2026-01-09,1,Inventário,Turno 1,5854,94.23,337,404,Problema de etiqueta
2026-01-10,1,Recebimento,Turno 3,11528,93.92,701,309,Indisponibilidade de Sistema
2026-01-10,1,Picking,Turno 1,10172,95.92,415,339,Gargalo no Sortter
2026-01-10,1,Packing,Turno 2,14925,93.94,904,382,Atraso na descarga
2026-01-10,1,Expedição,Turno 1,9218,93.94,558,277,Erro de bipagem
2026-01-10,1,Devolução (DV),Turno 1,5197,95.19,249,419,Problema de etiqueta
2026-01-10,1,Inventário,Turno 1,11287,98.68,148,303,Dentro do Prazo
2026-01-11,1,Recebimento,Turno 3,9282,93.49,604,438,Gargalo no Sortter
2026-01-11,1,Picking,Turno 3,5659,94.61,305,326,Gargalo no Sortter
2026-01-11,1,Packing,Turno 2,7911,92.77,572,307,Erro de bipagem
2026-01-11,1,Expedição,Turno 1,11694,99.49,59,308,Dentro do Prazo
2026-01-11,1,Devolução (DV),Turno 2,6802,94.73,358,330,Atraso na descarga
2026-01-11,1,Inventário,Turno 1,10534,99.02,103,278,Dentro do Prazo
2026-01-12,1,Recebimento,Turno 2,5262,97.28,143,291,Atraso na descarga
2026-01-12,1,Picking,Turno 3,14208,96.13,549,181,Falta de FTE (Mão de obra)
2026-01-12,1,Packing,Turno 2,10423,99.72,28,216,Dentro do Prazo
2026-01-12,1,Expedição,Turno 3,12158,94.71,642,278,Falta de FTE (Mão de obra)
2026-01-12,1,Devolução (DV),Turno 2,14874,97.81,326,310,Falta de FTE (Mão de obra)
2026-01-12,1,Inventário,Turno 1,9499,99.1,85,299,Dentro do Prazo
2026-01-13,1,Recebimento,Turno 3,14888,97.14,426,254,Indisponibilidade de Sistema
2026-01-13,1,Picking,Turno 3,6648,93.29,445,283,Erro de bipagem
2026-01-13,1,Packing,Turno 3,13445,92.07,1065,278,Falta de FTE (Mão de obra)
2026-01-13,1,Expedição,Turno 1,7200,92.04,573,373,Gargalo no Sortter
2026-01-13,1,Devolução (DV),Turno 3,7869,95.59,347,348,Erro de bipagem
2026-01-13,1,Inventário,Turno 2,13352,92.14,1048,314,Erro de bipagem
2026-01-14,1,Recebimento,Turno 1,6218,97.26,170,212,Erro de bipagem
2026-01-14,1,Picking,Turno 3,9555,96.07,375,201,Erro de bipagem
2026-01-14,1,Packing,Turno 3,11893,96.72,390,409,Gargalo no Sortter
2026-01-14,1,Expedição,Turno 1,8436,95.89,346,443,Atraso na descarga
2026-01-14,1,Devolução (DV),Turno 2,8354,95.48,378,276,Falta de FTE (Mão de obra)
2026-01-14,1,Inventário,Turno 2,12022,95.94,488,326,Atraso na descarga
2026-01-15,1,Recebimento,Turno 3,12683,92.19,989,228,Gargalo no Sortter
2026-01-15,1,Picking,Turno 2,12679,93.42,834,399,Problema de etiqueta
2026-01-15,1,Packing,Turno 3,7205,99.63,26,185,Dentro do Prazo
2026-01-15,1,Expedição,Turno 1,6060,99.43,34,360,Dentro do Prazo
2026-01-15,1,Devolução (DV),Turno 1,5606,99.71,16,295,Dentro do Prazo
2026-01-15,1,Inventário,Turno 1,5190,94.45,288,340,Problema de etiqueta
2026-01-16,1,Recebimento,Turno 3,8327,95.88,342,197,Problema de etiqueta
2026-01-16,1,Picking,Turno 3,6816,95.16,330,233,Problema de etiqueta
2026-01-16,1,Packing,Turno 2,5569,99.44,31,353,Dentro do Prazo
2026-01-16,1,Expedição,Turno 2,8863,93.67,560,330,Falta de FTE (Mão de obra)
2026-01-16,1,Devolução (DV),Turno 1,8009,94.03,477,283,Falta de FTE (Mão de obra)
2026-01-16,1,Inventário,Turno 3,13096,93.09,904,425,Falta de FTE (Mão de obra)
2026-01-17,1,Recebimento,Turno 2,12343,96.42,441,349,Atraso na descarga
2026-01-17,1,Picking,Turno 3,7806,95.36,362,192,Gargalo no Sortter
2026-01-17,1,Packing,Turno 3,11971,96.09,467,215,Problema de etiqueta
2026-01-17,1,Expedição,Turno 3,9780,93.55,630,443,Erro de bipagem
2026-01-17,1,Devolução (DV),Turno 1,11655,95.17,562,321,Problema de etiqueta
2026-01-17,1,Inventário,Turno 2,14163,99.09,128,322,Dentro do Prazo
2026-01-18,1,Recebimento,Turno 1,10919,96.63,368,230,Falta de FTE (Mão de obra)
2026-01-18,1,Picking,Turno 3,8769,96.34,320,304,Atraso na descarga
2026-01-18,1,Packing,Turno 3,11293,96.73,369,359,Problema de etiqueta
2026-01-18,1,Expedição,Turno 1,9777,98.58,138,233,Dentro do Prazo
2026-01-18,1,Devolução (DV),Turno 3,7491,94.61,403,443,Indisponibilidade de Sistema
2026-01-18,1,Inventário,Turno 1,8124,94.17,473,287,Falta de FTE (Mão de obra)
2026-01-19,1,Recebimento,Turno 2,5004,95.66,217,441,Atraso na descarga
2026-01-19,1,Picking,Turno 3,5876,93.56,378,226,Erro de bipagem
2026-01-19,1,Packing,Turno 2,11966,93.11,824,323,Erro de bipagem
2026-01-19,1,Expedição,Turno 3,9465,96.13,366,337,Problema de etiqueta
2026-01-19,1,Devolução (DV),Turno 3,14874,98.36,243,271,Dentro do Prazo
2026-01-19,1,Inventário,Turno 3,10177,92.63,750,408,Gargalo no Sortter
2026-01-20,1,Recebimento,Turno 3,13308,92.65,978,306,Atraso na descarga
2026-01-20,1,Picking,Turno 3,12560,97.51,312,308,Gargalo no Sortter
2026-01-20,1,Packing,Turno 1,6081,99.32,41,418,Dentro do Prazo
2026-01-20,1,Expedição,Turno 1,12805,92.75,928,268,Gargalo no Sortter
2026-01-20,1,Devolução (DV),Turno 1,12404,94.24,714,368,Problema de etiqueta
2026-01-20,1,Inventário,Turno 3,9070,97.26,248,248,Erro de bipagem
2026-01-21,1,Recebimento,Turno 1,12004,95.36,557,255,Atraso na descarga
2026-01-21,1,Picking,Turno 3,9249,94.85,476,265,Gargalo no Sortter
2026-01-21,1,Packing,Turno 2,7744,94.74,407,399,Indisponibilidade de Sistema
2026-01-21,1,Expedição,Turno 3,10188,92.75,738,273,Erro de bipagem
2026-01-21,1,Devolução (DV),Turno 3,11617,95.93,472,218,Gargalo no Sortter
2026-01-21,1,Inventário,Turno 1,14827,93.39,980,401,Falta de FTE (Mão de obra)
2026-01-22,1,Recebimento,Turno 1,9452,95.19,454,189,Indisponibilidade de Sistema
2026-01-22,1,Picking,Turno 1,7849,94.09,464,429,Falta de FTE (Mão de obra)
2026-01-22,1,Packing,Turno 1,7489,96.01,298,183,Indisponibilidade de Sistema
2026-01-22,1,Expedição,Turno 2,7839,99.55,35,437,Dentro do Prazo
2026-01-22,1,Devolução (DV),Turno 2,14087,97.09,409,331,Problema de etiqueta
2026-01-22,1,Inventário,Turno 3,11833,96.59,403,212,Problema de etiqueta
2026-01-23,1,Recebimento,Turno 2,9000,98.49,135,280,Dentro do Prazo
2026-01-23,1,Picking,Turno 3,10387,95.09,510,347,Atraso na descarga
2026-01-23,1,Packing,Turno 3,8913,93.65,565,191,Problema de etiqueta
2026-01-23,1,Expedição,Turno 2,10726,95.02,534,432,Gargalo no Sortter
2026-01-23,1,Devolução (DV),Turno 2,13945,97.46,353,269,Erro de bipagem
2026-01-23,1,Inventário,Turno 1,13967,95.08,686,269,Indisponibilidade de Sistema
2026-01-24,1,Recebimento,Turno 1,5417,94.09,320,375,Gargalo no Sortter
2026-01-24,1,Picking,Turno 3,5825,97.57,141,254,Falta de FTE (Mão de obra)
2026-01-24,1,Packing,Turno 3,5412,92.31,415,396,Atraso na descarga
2026-01-24,1,Expedição,Turno 3,12164,94.26,698,371,Gargalo no Sortter
2026-01-24,1,Devolução (DV),Turno 2,7786,99.92,5,215,Dentro do Prazo
2026-01-24,1,Inventário,Turno 2,10073,94.0,604,275,Falta de FTE (Mão de obra)
2026-01-25,1,Recebimento,Turno 2,14879,98.94,158,403,Dentro do Prazo
2026-01-25,1,Picking,Turno 2,8440,97.44,216,396,Atraso na descarga
2026-01-25,1,Packing,Turno 2,7914,92.82,567,241,Falta de FTE (Mão de obra)
2026-01-25,1,Expedição,Turno 2,13787,98.61,191,366,Dentro do Prazo
2026-01-25,1,Devolução (DV),Turno 3,12186,95.11,595,412,Falta de FTE (Mão de obra)
2026-01-25,1,Inventário,Turno 3,13082,92.73,951,385,Atraso na descarga
2026-01-26,1,Recebimento,Turno 3,7782,99.6,30,323,Dentro do Prazo
2026-01-26,1,Picking,Turno 2,9980,92.73,725,204,Erro de bipagem
2026-01-26,1,Packing,Turno 1,10588,98.02,209,330,Dentro do Prazo
2026-01-26,1,Expedição,Turno 2,6167,98.32,103,288,Dentro do Prazo
2026-01-26,1,Devolução (DV),Turno 2,12860,95.96,520,402,Indisponibilidade de Sistema
2026-01-26,1,Inventário,Turno 3,9729,95.53,434,394,Indisponibilidade de Sistema
2026-01-27,1,Recebimento,Turno 2,13924,94.81,723,325,Falta de FTE (Mão de obra)
2026-01-27,1,Picking,Turno 1,9846,93.14,675,253,Atraso na descarga
2026-01-27,1,Packing,Turno 3,5953,96.95,181,432,Indisponibilidade de Sistema
2026-01-27,1,Expedição,Turno 3,6542,95.41,300,347,Problema de etiqueta
2026-01-27,1,Devolução (DV),Turno 3,11313,95.17,546,301,Gargalo no Sortter
2026-01-27,1,Inventário,Turno 1,14409,92.65,1058,344,Indisponibilidade de Sistema
2026-01-28,1,Recebimento,Turno 1,10541,99.89,11,324,Dentro do Prazo
2026-01-28,1,Picking,Turno 1,13702,99.26,101,311,Dentro do Prazo
2026-01-28,1,Packing,Turno 1,8141,97.67,190,361,Atraso na descarga
2026-01-28,1,Expedição,Turno 3,9186,93.99,552,198,Falta de FTE (Mão de obra)
2026-01-28,1,Devolução (DV),Turno 2,9268,92.09,733,399,Problema de etiqueta
2026-01-28,1,Inventário,Turno 3,8709,92.45,657,180,Atraso na descarga
2026-01-29,1,Recebimento,Turno 3,11530,96.67,384,369,Erro de bipagem
2026-01-29,1,Picking,Turno 2,5504,95.0,275,296,Indisponibilidade de Sistema
2026-01-29,1,Packing,Turno 1,5133,98.42,81,352,Dentro do Prazo
2026-01-29,1,Expedição,Turno 2,11316,92.35,866,328,Falta de FTE (Mão de obra)
2026-01-29,1,Devolução (DV),Turno 3,9175,96.22,346,382,Problema de etiqueta
2026-01-29,1,Inventário,Turno 2,10348,94.02,618,326,Problema de etiqueta
2026-01-30,1,Recebimento,Turno 2,11190,97.04,331,193,Indisponibilidade de Sistema
2026-01-30,1,Picking,Turno 1,8486,99.97,2,233,Dentro do Prazo
2026-01-30,1,Packing,Turno 2,13053,95.07,643,191,Indisponibilidade de Sistema
2026-01-30,1,Expedição,Turno 2,6353,99.6,25,335,Dentro do Prazo
2026-01-30,1,Devolução (DV),Turno 3,9468,94.22,547,343,Falta de FTE (Mão de obra)
2026-01-30,1,Inventário,Turno 3,8719,94.83,451,357,Falta de FTE (Mão de obra)
2026-01-31,1,Recebimento,Turno 1,5539,92.62,408,220,Atraso na descarga
2026-01-31,1,Picking,Turno 3,9835,99.89,10,324,Dentro do Prazo
2026-01-31,1,Packing,Turno 2,10320,94.48,570,391,Problema de etiqueta
2026-01-31,1,Expedição,Turno 1,7779,94.17,453,225,Atraso na descarga
2026-01-31,1,Devolução (DV),Turno 3,12714,98.58,180,261,Dentro do Prazo
2026-01-31,1,Inventário,Turno 2,12026,97.81,263,189,Indisponibilidade de Sistema
2026-02-01,2,Recebimento,Turno 2,7871,99.01,77,430,Dentro do Prazo
2026-02-01,2,Picking,Turno 3,10124,92.21,788,244,Gargalo no Sortter
2026-02-01,2,Packing,Turno 2,7193,99.9,7,356,Dentro do Prazo
2026-02-01,2,Expedição,Turno 2,12449,95.05,616,356,Atraso na descarga
2026-02-01,2,Devolução (DV),Turno 1,9000,95.75,382,278,Erro de bipagem
2026-02-01,2,Inventário,Turno 1,13702,94.19,796,185,Atraso na descarga
2026-02-02,2,Recebimento,Turno 2,7000,96.27,260,312,Indisponibilidade de Sistema
2026-02-02,2,Picking,Turno 3,10989,99.31,76,202,Dentro do Prazo
2026-02-02,2,Packing,Turno 2,12140,97.81,265,381,Problema de etiqueta
2026-02-02,2,Expedição,Turno 3,9178,93.98,552,257,Indisponibilidade de Sistema
2026-02-02,2,Devolução (DV),Turno 3,11600,93.03,808,230,Gargalo no Sortter
2026-02-02,2,Inventário,Turno 3,9780,96.85,308,213,Falta de FTE (Mão de obra)
2026-02-03,2,Recebimento,Turno 3,8419,94.15,492,218,Indisponibilidade de Sistema
2026-02-03,2,Picking,Turno 1,5249,96.16,201,297,Gargalo no Sortter
2026-02-03,2,Packing,Turno 3,5770,96.16,221,447,Falta de FTE (Mão de obra)
2026-02-03,2,Expedição,Turno 1,6077,99.74,15,401,Dentro do Prazo
2026-02-03,2,Devolução (DV),Turno 1,9858,95.23,470,291,Problema de etiqueta
2026-02-03,2,Inventário,Turno 1,7814,92.23,607,386,Gargalo no Sortter
2026-02-04,2,Recebimento,Turno 2,6252,96.96,189,245,Problema de etiqueta
2026-02-04,2,Picking,Turno 1,9530,99.23,73,371,Dentro do Prazo
2026-02-04,2,Packing,Turno 2,11881,94.8,617,277,Problema de etiqueta
2026-02-04,2,Expedição,Turno 1,13017,95.14,632,428,Gargalo no Sortter
2026-02-04,2,Devolução (DV),Turno 2,9261,95.61,406,209,Falta de FTE (Mão de obra)
2026-02-04,2,Inventário,Turno 2,9854,96.19,375,260,Atraso na descarga
2026-02-05,2,Recebimento,Turno 3,7180,98.37,116,317,Dentro do Prazo
2026-02-05,2,Picking,Turno 1,11327,98.74,143,248,Dentro do Prazo
2026-02-05,2,Packing,Turno 1,12941,95.94,525,384,Indisponibilidade de Sistema
2026-02-05,2,Expedição,Turno 3,11269,97.07,330,419,Atraso na descarga
2026-02-05,2,Devolução (DV),Turno 3,6906,96.3,255,330,Gargalo no Sortter
2026-02-05,2,Inventário,Turno 3,12350,96.68,410,187,Falta de FTE (Mão de obra)
2026-02-06,2,Recebimento,Turno 1,14091,93.46,922,363,Problema de etiqueta
2026-02-06,2,Picking,Turno 1,13472,99.17,111,374,Dentro do Prazo
2026-02-06,2,Packing,Turno 2,5666,97.34,150,240,Falta de FTE (Mão de obra)
2026-02-06,2,Expedição,Turno 3,11777,93.79,731,184,Problema de etiqueta
2026-02-06,2,Devolução (DV),Turno 3,10585,94.23,610,201,Atraso na descarga
2026-02-06,2,Inventário,Turno 3,11981,92.97,842,412,Falta de FTE (Mão de obra)
2026-02-07,2,Recebimento,Turno 1,5523,93.65,350,213,Erro de bipagem
2026-02-07,2,Picking,Turno 2,14945,97.52,370,252,Falta de FTE (Mão de obra)
2026-02-07,2,Packing,Turno 2,11937,98.4,191,300,Dentro do Prazo
2026-02-07,2,Expedição,Turno 2,11493,93.26,775,227,Gargalo no Sortter
2026-02-07,2,Devolução (DV),Turno 2,8644,92.02,689,436,Erro de bipagem
2026-02-07,2,Inventário,Turno 2,6276,99.89,6,306,Dentro do Prazo
2026-02-08,2,Recebimento,Turno 2,5055,95.88,208,207,Erro de bipagem
2026-02-08,2,Picking,Turno 2,13150,96.25,493,333,Problema de etiqueta
2026-02-08,2,Packing,Turno 3,9621,93.18,655,186,Gargalo no Sortter
2026-02-08,2,Expedição,Turno 3,10122,99.16,84,417,Dentro do Prazo
2026-02-08,2,Devolução (DV),Turno 2,11506,96.26,430,406,Falta de FTE (Mão de obra)
2026-02-08,2,Inventário,Turno 1,6906,93.94,418,298,Problema de etiqueta
2026-02-09,2,Recebimento,Turno 1,13905,96.51,485,410,Gargalo no Sortter
2026-02-09,2,Picking,Turno 3,11229,94.62,604,204,Erro de bipagem
2026-02-09,2,Packing,Turno 1,11288,94.74,593,204,Problema de etiqueta
2026-02-09,2,Expedição,Turno 2,14795,94.84,763,412,Atraso na descarga
2026-02-09,2,Devolução (DV),Turno 3,14361,92.7,1049,290,Indisponibilidade de Sistema
2026-02-09,2,Inventário,Turno 1,14685,96.69,485,443,Indisponibilidade de Sistema
2026-02-10,2,Recebimento,Turno 2,11891,93.02,829,280,Indisponibilidade de Sistema
2026-02-10,2,Picking,Turno 3,7739,97.17,219,405,Problema de etiqueta
2026-02-10,2,Packing,Turno 2,5876,94.64,314,329,Problema de etiqueta
2026-02-10,2,Expedição,Turno 3,6733,94.92,341,291,Problema de etiqueta
2026-02-10,2,Devolução (DV),Turno 2,11986,92.7,874,274,Falta de FTE (Mão de obra)
2026-02-10,2,Inventário,Turno 3,8735,99.17,72,426,Dentro do Prazo
2026-02-11,2,Recebimento,Turno 2,13434,92.15,1055,408,Problema de etiqueta
2026-02-11,2,Picking,Turno 1,14111,92.9,1002,399,Gargalo no Sortter
2026-02-11,2,Packing,Turno 2,13195,92.04,1050,297,Gargalo no Sortter
2026-02-11,2,Expedição,Turno 3,7551,97.78,167,241,Falta de FTE (Mão de obra)
2026-02-11,2,Devolução (DV),Turno 1,10560,97.75,237,382,Gargalo no Sortter
2026-02-11,2,Inventário,Turno 2,11316,98.16,208,297,Dentro do Prazo
2026-02-12,2,Recebimento,Turno 2,13915,96.06,548,292,Gargalo no Sortter
2026-02-12,2,Picking,Turno 3,11283,92.92,798,269,Erro de bipagem
2026-02-12,2,Packing,Turno 1,14765,96.65,494,318,Indisponibilidade de Sistema
2026-02-12,2,Expedição,Turno 3,11988,96.26,448,340,Problema de etiqueta
2026-02-12,2,Devolução (DV),Turno 3,14093,94.69,747,189,Indisponibilidade de Sistema
2026-02-12,2,Inventário,Turno 3,5260,92.51,394,351,Erro de bipagem
2026-02-13,2,Recebimento,Turno 1,12041,94.58,652,309,Erro de bipagem
2026-02-13,2,Picking,Turno 1,6619,94.04,394,280,Indisponibilidade de Sistema
2026-02-13,2,Packing,Turno 1,7832,92.93,553,217,Problema de etiqueta
2026-02-13,2,Expedição,Turno 2,8490,94.79,442,248,Gargalo no Sortter
2026-02-13,2,Devolução (DV),Turno 2,5235,95.27,247,316,Problema de etiqueta
2026-02-13,2,Inventário,Turno 3,7635,95.03,379,180,Erro de bipagem
2026-02-14,2,Recebimento,Turno 1,10415,97.77,231,239,Erro de bipagem
2026-02-14,2,Picking,Turno 3,10951,98.25,191,446,Dentro do Prazo
2026-02-14,2,Packing,Turno 3,14064,98.0,280,392,Dentro do Prazo
2026-02-14,2,Expedição,Turno 2,7898,97.32,211,241,Atraso na descarga
2026-02-14,2,Devolução (DV),Turno 2,9227,94.53,504,221,Atraso na descarga
2026-02-14,2,Inventário,Turno 3,7136,97.46,180,283,Atraso na descarga
2026-02-15,2,Recebimento,Turno 2,11943,95.7,513,202,Indisponibilidade de Sistema
2026-02-15,2,Picking,Turno 3,9670,96.02,384,332,Falta de FTE (Mão de obra)
2026-02-15,2,Packing,Turno 2,7192,99.2,57,283,Dentro do Prazo
2026-02-15,2,Expedição,Turno 1,9018,96.34,329,377,Problema de etiqueta
2026-02-15,2,Devolução (DV),Turno 3,10765,94.66,574,358,Erro de bipagem
2026-02-15,2,Inventário,Turno 3,13135,97.55,321,194,Falta de FTE (Mão de obra)
2026-02-16,2,Recebimento,Turno 2,10742,96.96,326,410,Problema de etiqueta
2026-02-16,2,Picking,Turno 2,5922,98.31,100,217,Dentro do Prazo
2026-02-16,2,Packing,Turno 3,6120,97.66,143,433,Erro de bipagem
2026-02-16,2,Expedição,Turno 3,7243,96.56,249,189,Gargalo no Sortter
2026-02-16,2,Devolução (DV),Turno 3,9612,99.01,94,297,Dentro do Prazo
2026-02-16,2,Inventário,Turno 2,11028,92.89,784,407,Problema de etiqueta
2026-02-17,2,Recebimento,Turno 3,11359,96.83,359,194,Gargalo no Sortter
2026-02-17,2,Picking,Turno 1,8228,96.32,302,336,Problema de etiqueta
2026-02-17,2,Packing,Turno 1,7371,97.78,163,309,Problema de etiqueta
2026-02-17,2,Expedição,Turno 2,5094,96.79,163,248,Falta de FTE (Mão de obra)
2026-02-17,2,Devolução (DV),Turno 2,10779,93.45,705,217,Problema de etiqueta
2026-02-17,2,Inventário,Turno 1,11166,95.7,480,397,Problema de etiqueta
2026-02-18,2,Recebimento,Turno 1,12783,96.05,505,290,Erro de bipagem
2026-02-18,2,Picking,Turno 3,14831,98.98,151,312,Dentro do Prazo
2026-02-18,2,Packing,Turno 1,8876,97.66,207,285,Problema de etiqueta
2026-02-18,2,Expedição,Turno 3,13795,95.0,690,230,Indisponibilidade de Sistema
2026-02-18,2,Devolução (DV),Turno 1,12196,92.83,873,393,Falta de FTE (Mão de obra)
2026-02-18,2,Inventário,Turno 2,6792,92.91,481,289,Indisponibilidade de Sistema
2026-02-19,2,Recebimento,Turno 3,14397,98.7,187,180,Dentro do Prazo
2026-02-19,2,Picking,Turno 3,6854,94.49,377,328,Problema de etiqueta
2026-02-19,2,Packing,Turno 2,12112,97.95,247,381,Gargalo no Sortter
2026-02-19,2,Expedição,Turno 2,8507,98.3,144,333,Dentro do Prazo
2026-02-19,2,Devolução (DV),Turno 3,12970,95.19,624,204,Falta de FTE (Mão de obra)
2026-02-19,2,Inventário,Turno 3,6625,99.36,42,389,Dentro do Prazo
2026-02-20,2,Recebimento,Turno 2,13666,97.9,286,196,Gargalo no Sortter
2026-02-20,2,Picking,Turno 3,11783,93.8,730,430,Atraso na descarga
2026-02-20,2,Packing,Turno 1,6205,93.41,408,359,Indisponibilidade de Sistema
2026-02-20,2,Expedição,Turno 1,8572,99.32,58,356,Dentro do Prazo
2026-02-20,2,Devolução (DV),Turno 3,9380,96.64,314,329,Gargalo no Sortter
2026-02-20,2,Inventário,Turno 2,7713,92.1,608,228,Indisponibilidade de Sistema
2026-02-21,2,Recebimento,Turno 3,5966,99.8,11,356,Dentro do Prazo
2026-02-21,2,Picking,Turno 1,9243,95.32,432,242,Erro de bipagem
2026-02-21,2,Packing,Turno 2,14916,93.48,973,436,Atraso na descarga
2026-02-21,2,Expedição,Turno 1,6759,92.54,504,394,Falta de FTE (Mão de obra)
2026-02-21,2,Devolução (DV),Turno 1,7482,93.68,472,390,Problema de etiqueta
2026-02-21,2,Inventário,Turno 1,7079,95.75,301,323,Gargalo no Sortter
2026-02-22,2,Recebimento,Turno 2,12186,92.53,910,257,Erro de bipagem
2026-02-22,2,Picking,Turno 1,10490,95.63,458,373,Falta de FTE (Mão de obra)
2026-02-22,2,Packing,Turno 3,11645,95.53,520,293,Falta de FTE (Mão de obra)
2026-02-22,2,Expedição,Turno 1,10797,98.12,202,311,Dentro do Prazo
2026-02-22,2,Devolução (DV),Turno 2,11016,94.67,586,234,Falta de FTE (Mão de obra)
2026-02-22,2,Inventário,Turno 3,13038,98.03,257,445,Dentro do Prazo
2026-02-23,2,Recebimento,Turno 1,6481,99.18,53,341,Dentro do Prazo
2026-02-23,2,Picking,Turno 1,8451,98.41,134,234,Dentro do Prazo
2026-02-23,2,Packing,Turno 1,12643,98.72,162,187,Dentro do Prazo
2026-02-23,2,Expedição,Turno 1,5832,96.41,209,434,Indisponibilidade de Sistema
2026-02-23,2,Devolução (DV),Turno 3,13519,92.83,968,418,Indisponibilidade de Sistema
2026-02-23,2,Inventário,Turno 2,8300,93.43,545,276,Gargalo no Sortter
2026-02-24,2,Recebimento,Turno 1,8675,93.91,528,275,Indisponibilidade de Sistema
